SurveyID,MEPSID,ServiceID,SurveyReturnedYear,SurveyReturnedMonth,CompletedSurvey,TotalSurvey
16,1,1,2012,10,23,41
16,1,2,2012,10,19,19
16,1,3,2012,10,38,47
16,1,4,2012,10,16,22
16,2,1,2012,10,0,89
16,2,2,2012,10,60,89
16,2,3,2012,10,100,117
16,2,4,2012,10,46,61
16,3,1,2012,10,0,73
16,3,2,2012,10,23,30
16,3,3,2012,10,49,67
16,3,4,2012,10,21,23
16,4,1,2012,10,16,37
16,4,2,2012,10,16,18
16,4,3,2012,10,22,28
16,4,4,2012,10,11,14
16,5,1,2012,10,0,173
16,5,2,2012,10,110,128
16,5,3,2012,10,48,106
16,5,4,2012,10,0,36
16,6,1,2012,10,25,59
16,6,2,2012,10,25,28
16,6,3,2012,10,57,69
16,6,4,2012,10,21,53
16,10,1,2012,10,35,89
16,10,2,2012,10,10,45
16,10,3,2012,10,19,59
16,10,4,2012,10,29,42
16,11,1,2012,10,31,37
16,11,2,2012,10,20,51
16,11,3,2012,10,33,38
16,11,4,2012,10,21,26
16,12,1,2012,10,19,57
16,12,2,2012,10,21,21
16,12,3,2012,10,31,33
16,12,4,2012,10,11,13
16,13,1,2012,10,28,51
16,13,2,2012,10,40,43
16,13,3,2012,10,15,52
16,13,4,2012,10,22,35
16,14,1,2012,10,13,41
16,14,2,2012,10,36,46
16,14,3,2012,10,16,22
16,14,4,2012,10,17,21
16,17,1,2012,10,141,181
16,17,2,2012,10,6,83
16,17,3,2012,10,55,76
16,17,4,2012,10,63,78
16,20,1,2012,10,21,174
16,20,2,2012,10,72,111
16,20,3,2012,10,33,80
16,20,4,2012,10,48,61
16,21,1,2012,10,0,31
16,21,2,2012,10,13,13
16,21,3,2012,10,14,25
16,21,4,2012,10,6,12
16,22,1,2012,10,46,78
16,22,2,2012,10,44,48
16,22,3,2012,10,55,57
16,22,4,2012,10,39,40
16,23,1,2012,10,0,93
16,23,2,2012,10,70,78
16,23,3,2012,10,62,70
16,23,4,2012,10,24,30
16,24,1,2012,10,33,130
16,24,2,2012,10,44,57
16,24,3,2012,10,18,36
16,24,4,2012,10,45,63
16,25,1,2012,10,136,156
16,25,2,2012,10,74,132
16,25,3,2012,10,64,71
16,25,4,2012,10,53,61
16,26,1,2012,10,40,55
16,26,2,2012,10,41,42
16,26,3,2012,10,23,63
16,26,4,2012,10,22,20
16,27,1,2012,10,20,43
16,27,2,2012,10,33,42
16,27,3,2012,10,38,63
16,27,4,2012,10,3,20
16,28,1,2012,10,112,134
16,28,2,2012,10,62,63
16,28,3,2012,10,63,69
16,28,4,2012,10,47,62
16,29,1,2012,10,54,68
16,29,2,2012,10,48,50
16,29,3,2012,10,36,39
16,29,4,2012,10,27,29
16,30,1,2012,10,12,48
16,30,2,2012,10,9,20
16,30,3,2012,10,14,18
16,30,4,2012,10,12,13
16,31,1,2012,10,126,134
16,31,2,2012,10,55,59
16,31,3,2012,10,48,50
16,31,4,2012,10,35,38
16,32,1,2012,10,12,88
16,32,2,2012,10,32,96
16,32,3,2012,10,37,56
16,32,4,2012,10,25,38
16,36,1,2012,10,26,27
16,36,2,2012,10,14,19
16,36,3,2012,10,12,13
16,36,4,2012,10,2,11
16,37,1,2012,10,5,20
16,37,2,2012,10,13,19
16,37,3,2012,10,17,13
16,37,4,2012,10,5,11
16,38,1,2012,10,139,146
16,38,2,2012,10,102,119
16,38,3,2012,10,33,107
16,38,4,2012,10,62,73
16,39,1,2012,10,49,83
16,39,2,2012,10,11,58
16,39,3,2012,10,30,63
16,39,4,2012,10,0,48
16,40,1,2012,10,25,33
16,40,2,2012,10,17,22
16,40,3,2012,10,8,12
16,40,4,2012,10,4,10
16,41,1,2012,10,47,138
16,41,2,2012,10,107,117
16,41,3,2012,10,63,87
16,41,4,2012,10,15,50
16,42,1,2012,10,21,25
16,42,2,2012,10,6,17
16,42,3,2012,10,7,9
16,42,4,2012,10,4,13
16,43,1,2012,10,46,84
16,43,2,2012,10,58,60
16,43,3,2012,10,50,63
16,43,4,2012,10,24,56
16,44,1,2012,10,0,42
16,44,2,2012,10,18,26
16,44,3,2012,10,20,22
16,44,4,2012,10,3,15
16,45,1,2012,10,8,36
16,45,2,2012,10,26,33
16,45,3,2012,10,17,23
16,45,4,2012,10,19,22
16,46,1,2012,10,62,70
16,46,2,2012,10,29,74
16,46,3,2012,10,21,32
16,46,4,2012,10,9,21
16,47,1,2012,10,20,63
16,47,2,2012,10,38,47
16,47,3,2012,10,33,61
16,47,4,2012,10,19,35
16,48,1,2012,10,30,116
16,48,2,2012,10,52,120
16,48,3,2012,10,89,93
16,48,4,2012,10,29,75
16,49,1,2012,10,38,44
16,49,2,2012,10,31,39
16,49,3,2012,10,11,15
16,49,4,2012,10,19,23
16,50,1,2012,10,16,53
16,50,2,2012,10,46,48
16,50,3,2012,10,0,57
16,50,4,2012,10,22,46
16,54,1,2012,10,9,118
16,54,2,2012,10,34,82
16,54,3,2012,10,0,78
16,54,4,2012,10,30,60
16,56,1,2012,10,0,66
16,56,2,2012,10,54,61
16,56,3,2012,10,51,59
16,56,4,2012,10,22,44
16,57,1,2012,10,85,94
16,57,2,2012,10,51,83
16,57,3,2012,10,8,35
16,57,4,2012,10,34,49
16,58,1,2012,10,19,30
16,58,2,2012,10,21,30
16,58,3,2012,10,0,26
16,58,4,2012,10,16,24
16,59,1,2012,10,3,57
16,59,2,2012,10,64,66
16,59,3,2012,10,53,68
16,59,4,2012,10,20,32
16,60,1,2012,10,7,9
16,60,2,2012,10,9,9
16,60,3,2012,10,17,17
16,60,4,2012,10,11,12
16,61,1,2012,10,64,79
16,61,2,2012,10,31,66
16,61,3,2012,10,56,64
16,61,4,2012,10,0,28
16,62,1,2012,10,67,70
16,62,2,2012,10,52,56
16,62,3,2012,10,14,63
16,62,4,2012,10,20,37
16,63,1,2012,10,7,38
16,63,2,2012,10,29,31
16,63,3,2012,10,27,33
16,63,4,2012,10,23,30
16,64,1,2012,10,28,30
16,64,2,2012,10,22,22
16,64,3,2012,10,18,18
16,64,4,2012,10,23,25
16,65,1,2012,10,15,18
16,65,2,2012,10,4,20
16,65,3,2012,10,21,21
16,65,4,2012,10,17,17
16,66,1,2012,10,45,88
16,66,2,2012,10,68,77
16,66,3,2012,10,38,59
16,66,4,2012,10,33,51
16,67,1,2012,10,71,90
16,67,2,2012,10,147,166
16,67,3,2012,10,48,65
16,67,4,2012,10,44,47
16,70,1,2012,10,19,20
16,70,2,2012,10,24,28
16,70,3,2012,10,9,14
16,70,4,2012,10,6,8
16,71,1,2012,10,9,16
16,71,2,2012,10,6,7
16,71,3,2012,10,8,12
16,71,4,2012,10,16,16
16,72,1,2012,10,88,173
16,72,2,2012,10,67,67
16,72,3,2012,10,66,77
16,72,4,2012,10,63,69
16,73,1,2012,10,0,45
16,73,2,2012,10,0,15
16,73,3,2012,10,3,20
16,73,4,2012,10,13,15
16,74,1,2012,10,0,258
16,74,2,2012,10,49,106
16,74,3,2012,10,115,158
16,74,4,2012,10,45,70
16,75,1,2012,10,35,63
16,75,2,2012,10,23,110
16,75,3,2012,10,38,88
16,75,4,2012,10,36,45
16,76,1,2012,10,30,134
16,76,2,2012,10,97,112
16,76,3,2012,10,58,85
16,76,4,2012,10,48,55
16,77,1,2012,10,45,62
16,77,2,2012,10,37,48
16,77,3,2012,10,14,47
16,77,4,2012,10,7,36
16,78,1,2012,10,10,48
16,78,2,2012,10,20,28
16,78,3,2012,10,9,20
16,78,4,2012,10,26,51
16,79,1,2012,10,3,42
16,79,2,2012,10,39,56
16,79,3,2012,10,36,41
16,79,4,2012,10,2,57
16,80,1,2012,10,13,13
16,80,2,2012,10,16,24
16,80,3,2012,10,23,23
16,80,4,2012,10,13,21
16,81,1,2012,10,0,14
16,81,2,2012,10,10,10
16,81,3,2012,10,0,11
16,81,4,2012,10,0,11
16,1,1,2012,11,11,43
16,1,2,2012,11,16,21
16,1,3,2012,11,38,49
16,1,4,2012,11,19,23
16,2,1,2012,11,0,98
16,2,2,2012,11,2,74
16,2,3,2012,11,95,104
16,2,4,2012,11,31,49
16,3,1,2012,11,0,61
16,3,2,2012,11,33,42
16,3,3,2012,11,51,65
16,3,4,2012,11,24,28
16,4,1,2012,11,0,31
16,4,2,2012,11,10,22
16,4,3,2012,11,11,34
16,4,4,2012,11,8,13
16,5,1,2012,11,0,151
16,5,2,2012,11,89,129
16,5,3,2012,11,56,134
16,5,4,2012,11,0,38
16,6,1,2012,11,0,72
16,6,2,2012,11,28,35
16,6,3,2012,11,40,61
16,6,4,2012,11,3,73
16,10,1,2012,11,44,75
16,10,2,2012,11,0,55
16,10,3,2012,11,2,58
16,10,4,2012,11,23,30
16,11,1,2012,11,22,30
16,11,2,2012,11,11,42
16,11,3,2012,11,25,35
16,11,4,2012,11,46,54
16,12,1,2012,11,4,47
16,12,2,2012,11,21,24
16,12,3,2012,11,24,28
16,12,4,2012,11,27,28
16,13,1,2012,11,10,49
16,13,2,2012,11,23,37
16,13,3,2012,11,37,67
16,13,4,2012,11,20,40
16,14,1,2012,11,0,39
16,14,2,2012,11,50,55
16,14,3,2012,11,19,24
16,14,4,2012,11,19,20
16,17,1,2012,11,153,205
16,17,2,2012,11,0,78
16,17,3,2012,11,49,91
16,17,4,2012,11,45,68
16,20,1,2012,11,21,146
16,20,2,2012,11,78,108
16,20,3,2012,11,3,84
16,20,4,2012,11,49,57
16,21,1,2012,11,2,33
16,21,2,2012,11,13,15
16,21,3,2012,11,20,33
16,21,4,2012,11,4,27
16,22,1,2012,11,6,81
16,22,2,2012,11,60,64
16,22,3,2012,11,66,67
16,22,4,2012,11,27,28
16,23,1,2012,11,0,106
16,23,2,2012,11,49,55
16,23,3,2012,11,70,81
16,23,4,2012,11,23,34
16,24,1,2012,11,0,91
16,24,2,2012,11,46,55
16,24,3,2012,11,27,50
16,24,4,2012,11,27,47
16,25,1,2012,11,97,141
16,25,2,2012,11,80,110
16,25,3,2012,11,72,72
16,25,4,2012,11,70,74
16,26,1,2012,11,24,45
16,26,2,2012,11,30,32
16,26,3,2012,11,24,27
16,26,4,2012,11,20,31
16,27,1,2012,11,24,35
16,27,2,2012,11,39,39
16,27,3,2012,11,41,53
16,27,4,2012,11,3,21
16,28,1,2012,11,31,114
16,28,2,2012,11,43,50
16,28,3,2012,11,56,58
16,28,4,2012,11,4,56
16,29,1,2012,11,47,62
16,29,2,2012,11,51,54
16,29,3,2012,11,31,42
16,29,4,2012,11,20,30
16,30,1,2012,11,4,48
16,30,2,2012,11,6,17
16,30,3,2012,11,14,14
16,30,4,2012,11,10,12
16,31,1,2012,11,102,116
16,31,2,2012,11,45,56
16,31,3,2012,11,38,41
16,31,4,2012,11,32,41
16,32,1,2012,11,5,114
16,32,2,2012,11,36,102
16,32,3,2012,11,45,60
16,32,4,2012,11,9,69
16,36,1,2012,11,32,32
16,36,2,2012,11,11,12
16,36,3,2012,11,14,15
16,36,4,2012,11,6,14
16,37,1,2012,11,11,16
16,37,2,2012,11,9,15
16,37,3,2012,11,15,17
16,37,4,2012,11,10,12
16,38,1,2012,11,105,132
16,38,2,2012,11,73,88
16,38,3,2012,11,35,96
16,38,4,2012,11,44,56
16,39,1,2012,11,23,87
16,39,2,2012,11,2,61
16,39,3,2012,11,48,67
16,39,4,2012,11,13,51
16,40,1,2012,11,17,27
16,40,2,2012,11,20,20
16,40,3,2012,11,15,15
16,40,4,2012,11,0,20
16,41,1,2012,11,11,155
16,41,2,2012,11,93,107
16,41,3,2012,11,71,84
16,41,4,2012,11,3,50
16,42,1,2012,11,24,27
16,42,2,2012,11,0,12
16,42,3,2012,11,10,13
16,42,4,2012,11,5,13
16,43,1,2012,11,8,90
16,43,2,2012,11,44,47
16,43,3,2012,11,49,49
16,43,4,2012,11,33,49
16,44,1,2012,11,0,44
16,44,2,2012,11,2,18
16,44,3,2012,11,16,18
16,44,4,2012,11,2,13
16,45,1,2012,11,0,37
16,45,2,2012,11,19,28
16,45,3,2012,11,21,21
16,45,4,2012,11,17,17
16,46,1,2012,11,44,63
16,46,2,2012,11,31,64
16,46,3,2012,11,23,36
16,46,4,2012,11,19,27
16,47,1,2012,11,17,77
16,47,2,2012,11,27,40
16,47,3,2012,11,26,44
16,47,4,2012,11,6,33
16,48,1,2012,11,0,135
16,48,2,2012,11,3,126
16,48,3,2012,11,60,69
16,48,4,2012,11,17,54
16,49,1,2012,11,19,34
16,49,2,2012,11,20,29
16,49,3,2012,11,0,16
16,49,4,2012,11,21,25
16,50,1,2012,11,12,54
16,50,2,2012,11,44,51
16,50,3,2012,11,0,55
16,50,4,2012,11,5,33
16,54,1,2012,11,0,98
16,54,2,2012,11,46,65
16,54,3,2012,11,0,74
16,54,4,2012,11,13,47
16,56,1,2012,11,0,84
16,56,2,2012,11,63,74
16,56,3,2012,11,71,73
16,56,4,2012,11,23,48
16,57,1,2012,11,75,84
16,57,2,2012,11,64,73
16,57,3,2012,11,32,39
16,57,4,2012,11,44,52
16,58,1,2012,11,4,27
16,58,2,2012,11,4,9
16,58,3,2012,11,0,33
16,58,4,2012,11,29,37
16,59,1,2012,11,23,46
16,59,2,2012,11,49,55
16,59,3,2012,11,63,66
16,59,4,2012,11,2,38
16,60,1,2012,11,12,15
16,60,2,2012,11,9,9
16,60,3,2012,11,13,14
16,60,4,2012,11,14,14
16,61,1,2012,11,77,88
16,61,2,2012,11,10,44
16,61,3,2012,11,44,53
16,61,4,2012,11,0,36
16,62,1,2012,11,74,79
16,62,2,2012,11,52,58
16,62,3,2012,11,37,72
16,62,4,2012,11,15,33
16,63,1,2012,11,0,22
16,63,2,2012,11,14,14
16,63,3,2012,11,17,28
16,63,4,2012,11,21,24
16,64,1,2012,11,19,23
16,64,2,2012,11,12,13
16,64,3,2012,11,14,20
16,64,4,2012,11,17,21
16,65,1,2012,11,12,15
16,65,2,2012,11,0,4
16,65,3,2012,11,12,13
16,65,4,2012,11,15,15
16,66,1,2012,11,28,88
16,66,2,2012,11,72,83
16,66,3,2012,11,1,64
16,66,4,2012,11,26,60
16,67,1,2012,11,104,117
16,67,2,2012,11,135,149
16,67,3,2012,11,58,65
16,67,4,2012,11,42,49
16,70,1,2012,11,7,13
16,70,2,2012,11,32,34
16,70,3,2012,11,2,14
16,70,4,2012,11,2,6
16,71,1,2012,11,12,17
16,71,2,2012,11,10,13
16,71,3,2012,11,10,10
16,71,4,2012,11,12,12
16,72,1,2012,11,62,190
16,72,2,2012,11,62,76
16,72,3,2012,11,65,76
16,72,4,2012,11,46,60
16,73,1,2012,11,0,20
16,73,2,2012,11,0,18
16,73,3,2012,11,1,20
16,73,4,2012,11,0,15
16,74,1,2012,11,19,293
16,74,2,2012,11,24,99
16,74,3,2012,11,43,117
16,74,4,2012,11,63,77
16,75,1,2012,11,36,69
16,75,2,2012,11,11,89
16,75,3,2012,11,1,65
16,75,4,2012,11,41,44
16,76,1,2012,11,22,118
16,76,2,2012,11,52,58
16,76,3,2012,11,69,78
16,76,4,2012,11,58,66
16,77,1,2012,11,60,78
16,77,2,2012,11,55,62
16,77,3,2012,11,42,44
16,77,4,2012,11,4,30
16,78,1,2012,11,23,49
16,78,2,2012,11,14,22
16,78,3,2012,11,19,25
16,78,4,2012,11,23,51
16,79,1,2012,11,2,60
16,79,2,2012,11,16,51
16,79,3,2012,11,39,46
16,79,4,2012,11,8,31
16,80,1,2012,11,24,24
16,80,2,2012,11,21,24
16,80,3,2012,11,18,18
16,80,4,2012,11,9,9
16,81,1,2012,11,6,10
16,81,2,2012,11,5,9
16,81,3,2012,11,0,6
16,81,4,2012,11,1,6
16,1,1,2012,12,6,39
16,1,2,2012,12,14,16
16,1,3,2012,12,41,44
16,1,4,2012,12,10,11
16,2,1,2012,12,23,103
16,2,2,2012,12,19,50
16,2,3,2012,12,86,102
16,2,4,2012,12,25,63
16,3,1,2012,12,15,63
16,3,2,2012,12,19,25
16,3,3,2012,12,14,37
16,3,4,2012,12,24,24
16,4,1,2012,12,0,31
16,4,2,2012,12,2,15
16,4,3,2012,12,1,23
16,4,4,2012,12,12,14
16,5,1,2012,12,15,165
16,5,2,2012,12,83,113
16,5,3,2012,12,83,113
16,5,4,2012,12,0,41
16,6,1,2012,12,0,65
16,6,2,2012,12,20,24
16,6,3,2012,12,12,44
16,6,4,2012,12,0,69
16,10,1,2012,12,34,92
16,10,2,2012,12,2,29
16,10,3,2012,12,4,58
16,10,4,2012,12,29,36
16,11,1,2012,12,32,38
16,11,2,2012,12,8,27
16,11,3,2012,12,15,24
16,11,4,2012,12,35,40
16,12,1,2012,12,12,38
16,12,2,2012,12,12,13
16,12,3,2012,12,20,22
16,12,4,2012,12,15,15
16,13,1,2012,12,9,47
16,13,2,2012,12,24,26
16,13,3,2012,12,33,44
16,13,4,2012,12,10,29
16,14,1,2012,12,0,49
16,14,2,2012,12,23,26
16,14,3,2012,12,14,26
16,14,4,2012,12,15,15
16,17,1,2012,12,85,161
16,17,2,2012,12,0,52
16,17,3,2012,12,64,90
16,17,4,2012,12,37,46
16,20,1,2012,12,19,134
16,20,2,2012,12,38,47
16,20,3,2012,12,0,72
16,20,4,2012,12,36,45
16,21,1,2012,12,0,22
16,21,2,2012,12,10,11
16,21,3,2012,12,5,30
16,21,4,2012,12,9,18
16,22,1,2012,12,5,70
16,22,2,2012,12,30,35
16,22,3,2012,12,48,50
16,22,4,2012,12,37,37
16,23,1,2012,12,0,73
16,23,2,2012,12,29,35
16,23,3,2012,12,54,62
16,23,4,2012,12,29,34
16,24,1,2012,12,8,103
16,24,2,2012,12,26,27
16,24,3,2012,12,33,35
16,24,4,2012,12,39,49
16,25,1,2012,12,113,149
16,25,2,2012,12,8,83
16,25,3,2012,12,58,61
16,25,4,2012,12,65,66
16,26,1,2012,12,22,58
16,26,2,2012,12,25,27
16,26,3,2012,12,20,22
16,26,4,2012,12,5,35
16,27,1,2012,12,28,35
16,27,2,2012,12,21,22
16,27,3,2012,12,38,44
16,27,4,2012,12,9,28
16,28,1,2012,12,60,133
16,28,2,2012,12,25,25
16,28,3,2012,12,60,64
16,28,4,2012,12,0,39
16,29,1,2012,12,51,87
16,29,2,2012,12,45,49
16,29,3,2012,12,42,43
16,29,4,2012,12,29,49
16,30,1,2012,12,2,49
16,30,2,2012,12,0,13
16,30,3,2012,12,10,11
16,30,4,2012,12,7,7
16,31,1,2012,12,98,117
16,31,2,2012,12,30,36
16,31,3,2012,12,36,41
16,31,4,2012,12,36,39
16,32,1,2012,12,30,117
16,32,2,2012,12,31,60
16,32,3,2012,12,35,46
16,32,4,2012,12,0,50
16,36,1,2012,12,21,31
16,36,2,2012,12,16,17
16,36,3,2012,12,18,18
16,36,4,2012,12,4,10
16,37,1,2012,12,15,20
16,37,2,2012,12,2,3
16,37,3,2012,12,14,16
16,37,4,2012,12,13,13
16,38,1,2012,12,92,123
16,38,2,2012,12,49,60
16,38,3,2012,12,27,101
16,38,4,2012,12,54,65
16,39,1,2012,12,19,76
16,39,2,2012,12,0,46
16,39,3,2012,12,51,58
16,39,4,2012,12,28,56
16,40,1,2012,12,18,29
16,40,2,2012,12,18,19
16,40,3,2012,12,6,8
16,40,4,2012,12,1,15
16,41,1,2012,12,2,124
16,41,2,2012,12,66,79
16,41,3,2012,12,78,87
16,41,4,2012,12,0,38
16,42,1,2012,12,11,14
16,42,2,2012,12,5,9
16,42,3,2012,12,11,13
16,42,4,2012,12,15,18
16,43,1,2012,12,5,88
16,43,2,2012,12,33,35
16,43,3,2012,12,62,66
16,43,4,2012,12,17,43
16,44,1,2012,12,0,44
16,44,2,2012,12,5,19
16,44,3,2012,12,15,16
16,44,4,2012,12,6,21
16,45,1,2012,12,0,37
16,45,2,2012,12,22,25
16,45,3,2012,12,17,18
16,45,4,2012,12,19,19
16,46,1,2012,12,39,58
16,46,2,2012,12,12,41
16,46,3,2012,12,25,40
16,46,4,2012,12,20,27
16,47,1,2012,12,11,61
16,47,2,2012,12,20,27
16,47,3,2012,12,26,52
16,47,4,2012,12,9,44
16,48,1,2012,12,0,142
16,48,2,2012,12,0,90
16,48,3,2012,12,75,84
16,48,4,2012,12,8,57
16,49,1,2012,12,25,44
16,49,2,2012,12,22,25
16,49,3,2012,12,0,12
16,49,4,2012,12,19,33
16,50,1,2012,12,6,48
16,50,2,2012,12,23,27
16,50,3,2012,12,0,59
16,50,4,2012,12,12,35
16,54,1,2012,12,3,82
