Year,BALTIMORE,BECKLEY,FORT DIX,FORT LEE,HARRISBURG,PITTSBURGH,PITTSBURGH,CHICAGO,CLEVELAND,COLUMBUS,DES MOINES,DETROIT,INDIANAPOLIS,LANSING,MILWAUKEE,MINNEAPOLIS,ALBANY,BOSTON,BUFFALO,NEW YORK ,"PORTLAND, ME",SPRINGFIELD,SYRACUSE,ANCHORAGE,BOISE,BUTTE,FARGO,"PORTLAND, OR",SEATTLE,SIOUX FALLS,SPOKANE,DENVER,HONOLULU,LOS ANGELES,PHOENIX,SACRAMENTO,SALT LAKE CITY,SAN DIEGO,SAN JOSE,ATLANTA,CHARLOTTE,FORT JACKSON,JACKSON,JACKSONVILLE,KNOXVILLE,LOUISVILLE,MEMPHIS,MIAMI,MONTGOMERY,NASHVILLE,RALEIGH,TAMPA,ALBUQUERQUE,AMARILLO,DALLAS,EL PASO,HOUSTON,KANSAS CITY,LITTLE ROCK,NEW ORLEANS,OKLAHOMA CITY,OMAHA,SAN ANTONIO,SHREVEPORT,ST. LOUIS 
12-Oct,0%,0%,39%,14%,42%,84%,84%,8%,0%,90%,63%,5%,81%,30%,96%,18%,56%,0%,43%,0%,33%,55%,32%,0%,95%,56%,78%,73%,7%,83%,100%,59%,0%,0%,22%,51%,21%,79%,56%,12%,59%,25%,84%,87%,73%,47%,22%,0%,84%,79%,94%,78%,96%,25%,95%,76%,34%,55%,0%,89%,32%,93%,26%,86%,51%
12-Nov,0%,6%,59%,4%,0%,73%,73%,0%,0%,89%,15%,50%,88%,22%,94%,0%,26%,0%,0%,0%,9%,20%,0%,60%,54%,71%,80%,77%,3%,80%,100%,26%,0%,6%,19%,33%,47%,89%,52%,14%,7%,0%,89%,69%,53%,69%,0%,0%,27%,76%,88%,75%,100%,69%,80%,63%,7%,9%,0%,70%,22%,83%,0%,56%,32%
12-Dec,22%,0%,37%,26%,0%,84%,84%,4%,0%,92%,43%,71%,67%,13%,95%,0%,15%,24%,0%,9%,32%,19%,0%,54%,0%,80%,50%,79%,4%,67%,100%,25%,0%,2%,40%,12%,37%,83%,46%,14%,7%,8%,79%,76%,38%,80%,0%,0%,45%,59%,84%,53%,68%,75%,75%,62%,2%,6%,0%,67%,18%,85%,0%,57%,31%
13-Jan,45%,0%,66%,19%,0%,69%,69%,6%,0%,86%,62%,22%,19%,1%,83%,0%,12%,77%,6%,3%,36%,7%,0%,33%,0%,78%,6%,80%,0%,59%,73%,66%,0%,0%,39%,15%,42%,60%,0%,0%,13%,15%,63%,48%,51%,79%,3%,0%,47%,26%,75%,2%,86%,36%,86%,70%,14%,3%,0%,47%,14%,65%,0%,58%,32%
13-Feb,28%,39%,74%,13%,0%,83%,83%,22%,0%,90%,76%,41%,0%,0%,85%,67%,31%,85%,78%,44%,38%,19%,13%,14%,6%,88%,0%,89%,0%,58%,100%,75%,29%,0%,55%,30%,50%,56%,8%,8%,59%,12%,94%,51%,30%,56%,0%,32%,48%,15%,70%,32%,91%,61%,90%,33%,49%,36%,78%,39%,33%,57%,79%,30%,52%
13-Mar,14%,0%,34%,2%,0%,58%,58%,3%,0%,68%,37%,5%,0%,0%,94%,54%,22%,84%,53%,35%,32%,17%,13%,11%,17%,80%,7%,69%,0%,59%,69%,59%,74%,0%,43%,46%,33%,15%,11%,0%,27%,16%,60%,48%,40%,68%,58%,16%,27%,8%,6%,36%,53%,57%,58%,0%,65%,36%,45%,2%,18%,83%,74%,25%,67%
13-Apr,0%,0%,42%,0%,0%,77%,77%,0%,23%,58%,48%,52%,0%,0%,90%,0%,24%,86%,79%,52%,53%,9%,0%,50%,0%,53%,0%,88%,0%,25%,100%,0%,57%,21%,55%,52%,0%,5%,0%,1%,12%,33%,86%,59%,63%,68%,62%,27%,55%,83%,80%,41%,91%,48%,93%,3%,78%,51%,65%,76%,16%,81%,85%,71%,62%
13-May,0%,12%,41%,0%,42%,67%,67%,16%,49%,92%,65%,44%,0%,1%,87%,0%,50%,83%,57%,59%,68%,32%,0%,18%,0%,75%,0%,76%,0%,64%,86%,45%,11%,19%,40%,53%,0%,7%,0%,0%,41%,8%,80%,44%,24%,76%,63%,1%,32%,79%,80%,19%,96%,0%,92%,2%,84%,48%,55%,71%,8%,86%,69%,48%,64%
13-Jun,0%,0%,24%,1%,74%,68%,68%,0%,54%,90%,81%,69%,0%,0%,93%,0%,32%,72%,57%,50%,68%,52%,0%,0%,0%,88%,0%,69%,0%,86%,93%,46%,44%,14%,41%,52%,0%,0%,0%,0%,14%,7%,86%,22%,35%,80%,85%,0%,62%,98%,75%,0%,81%,0%,86%,50%,63%,59%,28%,46%,9%,82%,87%,39%,65%
13-Jul,1%,0%,0%,0%,41%,89%,89%,6%,43%,85%,75%,73%,0%,35%,88%,0%,49%,58%,63%,47%,72%,18%,0%,0%,0%,92%,23%,82%,12%,82%,95%,42%,24%,6%,58%,47%,0%,2%,6%,0%,3%,8%,74%,19%,17%,71%,94%,0%,62%,76%,82%,0%,93%,0%,85%,13%,55%,23%,42%,0%,0%,96%,56%,11%,44%
