,Importance,Association
 Offers training in cutting-edge technology,0.40000,0.48000
 Is futuristic/forward thinking,0.53000,0.42000
 Is with an elite organization,0.30000,0.43000
" Provides an opportunity to become physically, mentally, and emotionally stronger",0.56000,0.39000
  Is something to be proud of,0.72000,0.36000
 Allows you to serve as a protector of your country,0.23000,0.35000
 Offers a strong sense of belonging,0.53000,0.35000
 Provides numerous opportunities for unique job responsibilities,0.52000,0.25000
 Provides a safe work environment,0.66000,0.21000
 Allows you to make a positive global impact,0.48000,0.19000
 Is interesting and more than just a daily routine,0.61000,0.21000
 Allows you to make a good living,0.78000,0.24000
 Allows you to do great things with your life,0.74000,0.21000
 Opportunity for Adventure,0.47000,0.20000
 Offers a lifestyle that is attractive to you,0.71000,0.20000
